species,subset_size,week_number,expected_abundance
Bohemian Waxwing,30,47,1.509301827160792e-06
Bohemian Waxwing,30,48,0.04690442092225306
Bohemian Waxwing,30,49,0.0
Bohemian Waxwing,30,50,0.3546650147717526
Bohemian Waxwing,30,51,0.00018423134803046993
Bohemian Waxwing,30,52,1.7018148153190561e-06
Bohemian Waxwing,32,1,0.11759304383512453
Bohemian Waxwing,32,2,0.0
Bohemian Waxwing,32,7,0.0
Bohemian Waxwing,32,8,0.00045294481590202513
Bohemian Waxwing,32,9,3.212749748699688e-05
Bohemian Waxwing,32,10,5.077834743560883e-05
Bohemian Waxwing,32,12,0.0011319302279790594
Bohemian Waxwing,32,13,0.0015870223263297952
Bohemian Waxwing,32,14,0.024746987734650287
Bohemian Waxwing,32,15,2.283866311601584e-05
Bohemian Waxwing,32,31,0.035444311783736755
Bohemian Waxwing,32,32,0.00023096383809893817
Bohemian Waxwing,32,38,0.011567735121927982
Bohemian Waxwing,32,39,0.04906893567697169
Bohemian Waxwing,32,40,0.12068778639373093
Bohemian Waxwing,32,41,0.2593221309460056
Bohemian Waxwing,32,46,0.1432425373289024
Bohemian Waxwing,32,47,1.659678414675178e-05
Bohemian Waxwing,32,48,0.04780603773499016
Bohemian Waxwing,32,49,0.0
Bohemian Waxwing,32,50,0.35689674335889743
Bohemian Waxwing,32,51,0.00018998580922322943
Bohemian Waxwing,32,52,1.3609978836482908e-05
Bohemian Waxwing,34,1,0.11698311694976138
Bohemian Waxwing,34,2,0.0
Bohemian Waxwing,34,7,0.0
Bohemian Waxwing,34,8,0.00022944005059249517
Bohemian Waxwing,34,9,1.1199680565632564e-05
Bohemian Waxwing,34,10,2.8783994744381195e-05
Bohemian Waxwing,34,12,0.0008828833465633865
Bohemian Waxwing,34,13,0.0014237251221531821
Bohemian Waxwing,34,14,0.024463756618526466
Bohemian Waxwing,34,15,0.0
Bohemian Waxwing,34,31,0.03473223487103708
Bohemian Waxwing,34,32,0.00011628547472014982
Bohemian Waxwing,34,38,0.010836492621096991
Bohemian Waxwing,34,39,0.047408093490898695
Bohemian Waxwing,34,40,0.11839985522263069
Bohemian Waxwing,34,41,0.2562785965054144
Bohemian Waxwing,34,46,0.140377777014161
Bohemian Waxwing,34,47,0.0
Bohemian Waxwing,34,48,0.04711445855826524
Bohemian Waxwing,34,49,0.0
Bohemian Waxwing,34,50,0.35614219003144953
Bohemian Waxwing,34,51,8.726748064601208e-05
Bohemian Waxwing,34,52,0.0
