species,subset_size,hour,expected_abundance
Black Woodpecker,30,0,9.139169686566215e-05
Black Woodpecker,30,1,6.55636086210185e-05
Black Woodpecker,30,2,0.0003856682860059912
Black Woodpecker,30,3,0.006707214557681848
Black Woodpecker,30,4,0.00010181153233398634
Black Woodpecker,30,5,3.388556136901068e-06
Black Woodpecker,30,6,3.5549962162766686e-06
Black Woodpecker,30,7,0.0002831286119653801
Black Woodpecker,30,8,2.0993343121387486e-06
Black Woodpecker,30,9,0.0
Black Woodpecker,30,10,2.070953285403418e-05
Black Woodpecker,30,11,1.7133156838973684e-07
Black Woodpecker,30,12,4.054797562232861e-06
Black Woodpecker,30,13,1.5807642489299017e-07
Black Woodpecker,30,14,0.00010522485699668985
Black Woodpecker,30,15,2.0877458712215715e-06
Black Woodpecker,30,16,0.0037907031817638603
Black Woodpecker,30,17,4.9247920630260283e-05
Black Woodpecker,30,18,0.00155588143024944
Black Woodpecker,30,19,0.00040207355309205205
Black Woodpecker,30,20,0.00036078129193108186
Black Woodpecker,30,21,4.367623314097401e-05
Black Woodpecker,30,22,0.0
Black Woodpecker,30,23,0.0
Black Woodpecker,32,0,7.224630432366344e-05
Black Woodpecker,32,1,5.401460350729155e-05
Black Woodpecker,32,2,0.0003005203415143984
Black Woodpecker,32,3,0.00624652661998444
Black Woodpecker,32,4,8.11245495481215e-05
Black Woodpecker,32,5,2.52490963002097e-06
Black Woodpecker,32,6,2.579819647823794e-06
Black Woodpecker,32,7,0.0002814300297136271
Black Woodpecker,32,8,1.6399425931787788e-06
Black Woodpecker,32,9,0.0
Black Woodpecker,32,10,1.837759288986863e-05
Black Woodpecker,32,11,1.467087254500981e-07
Black Woodpecker,32,12,3.194950973334683e-06
Black Woodpecker,32,13,1.1843872181878923e-07
Black Woodpecker,32,14,9.760707952940256e-05
Black Woodpecker,32,15,1.6294198665648518e-06
Black Woodpecker,32,16,0.0037088450436557137
Black Woodpecker,32,17,4.6903503662298535e-05
Black Woodpecker,32,18,0.0015232035450796896
Black Woodpecker,32,19,0.0003705029579699612
Black Woodpecker,32,20,0.00032009557814795643
Black Woodpecker,32,21,3.444674395597431e-05
Black Woodpecker,32,22,0.0
Black Woodpecker,32,23,0.0
Black Woodpecker,34,0,6.518801176564115e-05
Black Woodpecker,34,1,1.788695444788934e-05
Black Woodpecker,34,2,0.00025462605743466
Black Woodpecker,34,3,0.005698880850800717
Black Woodpecker,34,4,6.80129816082287e-05
Black Woodpecker,34,5,1.9801145043163698e-06
Black Woodpecker,34,6,1.9570190529224364e-06
Black Woodpecker,34,7,0.000271148179744939
Black Woodpecker,34,8,8.842253719944036e-07
Black Woodpecker,34,9,0.0
Black Woodpecker,34,10,1.6964119202708867e-05
Black Woodpecker,34,11,0.0
Black Woodpecker,34,12,3.056395786686997e-06
Black Woodpecker,34,13,0.0
Black Woodpecker,34,14,9.138506322286143e-05
Black Woodpecker,34,15,6.526384213459754e-08
Black Woodpecker,34,16,0.0035826994591327235
Black Woodpecker,34,17,4.024827825172794e-05
Black Woodpecker,34,18,0.0014690422106060192
Black Woodpecker,34,19,0.00034322824596440585
Black Woodpecker,34,20,0.00029443939324321
Black Woodpecker,34,21,1.8396133132815483e-05
Black Woodpecker,34,22,0.0
Black Woodpecker,34,23,0.0
Black Woodpecker,36,0,4.210559766115322e-05
Black Woodpecker,36,1,2.0002996193472385e-05
Black Woodpecker,36,2,0.00018295606530900648
Black Woodpecker,36,3,0.005197296061493593
Black Woodpecker,36,4,5.223596436585931e-05
Black Woodpecker,36,5,1.3527342706015448e-06
Black Woodpecker,36,6,1.4304644151357932e-06
Black Woodpecker,36,7,0.00026333335613582367
Black Woodpecker,36,8,7.258432807788083e-07
Black Woodpecker,36,9,0.0
Black Woodpecker,36,10,1.4348130095101831e-05
Black Woodpecker,36,11,2.4467771528464254e-08
Black Woodpecker,36,12,2.1409038433591434e-06
Black Woodpecker,36,13,0.0
Black Woodpecker,36,14,8.05767939724326e-05
Black Woodpecker,36,15,7.174231828909962e-07
Black Woodpecker,36,16,0.00344099056650158
Black Woodpecker,36,17,3.633472276842085e-05
Black Woodpecker,36,18,0.0014183217826205074
Black Woodpecker,36,19,0.0002965019320923803
Black Woodpecker,36,20,0.0002492530525150301
Black Woodpecker,36,21,1.3328296156578985e-05
Black Woodpecker,36,22,0.0
Black Woodpecker,36,23,0.0
Black Woodpecker,38,0,4.1269841269841266e-05
Black Woodpecker,38,1,9.353741496598641e-06
Black Woodpecker,38,2,0.00016946778711484593
Black Woodpecker,38,3,0.004877037037037037
Black Woodpecker,38,4,5.027350872623079e-05
Black Woodpecker,38,5,1.317876208983895e-06
Black Woodpecker,38,6,1.3732123120206318e-06
Black Woodpecker,38,7,0.00024967103866887385
Black Woodpecker,38,8,6.147734796178947e-07
Black Woodpecker,38,9,0.0
Black Woodpecker,38,10,1.4019739793629431e-05
Black Woodpecker,38,11,0.0
Black Woodpecker,38,12,2.281347135483503e-06
Black Woodpecker,38,13,0.0
Black Woodpecker,38,14,7.515576323987539e-05
Black Woodpecker,38,15,2.6062027625749284e-07
Black Woodpecker,38,16,0.0032704863017877844
Black Woodpecker,38,17,3.359218731615485e-05
Black Woodpecker,38,18,0.0013586885245901639
Black Woodpecker,38,19,0.00027633300621524373
Black Woodpecker,38,20,0.00023658604392549345
Black Woodpecker,38,21,9.182736455463728e-06
Black Woodpecker,38,22,0.0
Black Woodpecker,38,23,0.0
Black Woodpecker,40,0,2.779630865021125e-05
Black Woodpecker,40,1,1.0210888891914336e-05
